lang_00000000006H7RKSCAFYE4FM5X,Komi,kv,kom,Коми кыв,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000NKP5W95PPQYZ9KN5,Cornish,kw,cor,Kernewek,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000R2HVEC3AW18A6V82,Kyrgyz,ky,kir,Кыргызча,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000008S356AC5HK6MZRQG,Latin,la,lat,Latine,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000A7ZB1T2SKHP27FNJ,Luxembourgish,lb,ltz,Lëtzebuergesch,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000NY0C8F6VRCYXZ8DT,Ganda,lg,lug,Luganda,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000NC6NT8AXNK3EZPMH,Limburgish,li,lim,Limburgs,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000DM46841WD89HE2YW,Lingala,ln,lin,Lingála,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000SF273BCAQTVJAE8E,Lao,lo,lao,ພາສາ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000JNK7E1WYB4NBB2MX,Lithuanian,lt,lit,Lietuvių kalba,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000006N9QM6G2PG3HKGS1,Luba-Katanga,lu,lub,Tshiluba,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000002WQB2PVW5TBYN1XJ,Latvian,lv,lav,Latviešu valoda,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000003SB8ZT424BGW6B1S,Malagasy,mg,mlg,Fiteny malagasy,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000009CRPK5NSYVVFJM5F,Marshallese,mh,mah,Kajin m̧ajeļ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000Z1Y7ZAD8X4G5C76Q,Māori,mi,mri,Te reo māori,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000008QKNHM8058K2087Z,Macedonian,mk,mkd,Македонски јазик,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000RGFBCXA16FPSDDCH,Malayalam,ml,mal,മലയാളം,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000MY0K6C0VWZ4RW3DJ,Mongolian,mn,mon,Монгол хэл,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000TN5AJGH8JF14AJ1P,Marathi,mr,mar,मराठी,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000009EP2BJBFQ970VVRC,Malay,ms,msa,Bahasa malaysia,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000WRMDPE5DA1V6G1RJ,Maltese,mt,mlt,Malti,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000006KVXN4PKEWWP5CSZ,Burmese,my,mya,ဗမာစာ,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000NSGC605FG0PDBTTD,Nauru,na,nau,Ekakairũ naoero,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000Q0ZRBY9YRBASV510,Norwegian Bokmål,nb,nob,Norsk bokmål,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_0000000000V1E6ED6SG8C0P1T9,Northern Ndebele,nd,nde,Isindebele,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
lang_00000000005AQ3YWGMSEPYKJQ0,Nepali,ne,nep,नेपाली,f,2023-03-21 16:55:17.315,2023-03-21 16:55:17.315,,
